#{"t_start": 1763633712.5493202, "env_id": "None"}
r,l,t
-5.954776,50,491.983567
-2.630737,50,492.483345
-2.104216,50,492.983146
-1.007042,50,493.483601
-6.259357,50,493.983054
-0.926044,50,494.483679
-2.647719,50,494.983438
-2.800796,50,495.483362
-1.216024,50,495.983516
-1.199613,50,496.483516
-1.718989,50,496.983754
-3.774796,50,497.483554
-0.343404,50,497.9834
-6.138341,50,498.483589
-0.955304,50,498.983373
-4.895966,50,499.483608
-2.210065,50,499.983645
-7.859278,50,500.483507
-1.934281,50,500.983575
-0.692532,50,501.483138
-0.921261,50,501.983578
-2.190075,50,502.483487
-4.140198,50,502.983207
-5.165481,50,503.483821
-4.951008,50,503.983226
-0.856806,50,504.483377
-1.440954,50,504.984333
-3.334881,50,505.483303
-6.228869,50,505.983424
-5.715924,50,506.483496
-0.821558,50,506.982983
-0.519474,50,507.482434
-3.026449,50,507.98364
-1.168754,50,508.483675
-0.620708,50,508.983577
-2.151118,50,509.48817
-1.730299,50,509.983699
-0.549561,50,510.491039
-5.018299,50,510.983421
-0.695522,50,511.483285
-1.024902,50,511.983729
-3.360497,50,512.483275
-2.619106,50,512.983341
-0.275285,50,513.483164
-0.495295,50,513.983719
-1.101408,50,514.48411
-1.253595,50,514.98359
-2.925734,50,515.483004
-0.89788,50,515.983712
-7.886896,50,516.484319
-2.866607,50,516.983912
-0.598939,50,517.483997
-0.213628,50,517.983321
-1.449869,50,518.483225
-2.517191,50,518.98332
-2.152383,50,519.483788
-3.275859,50,519.983629
-1.775569,50,520.483985
-5.959792,50,520.983919
-1.712723,50,521.483721
-1.984777,50,521.984321
-1.49805,50,522.483469
-2.186108,50,522.983324
-1.161062,50,523.483791
-1.056364,50,523.983256
-6.138693,50,524.483584
-2.884338,50,524.98333
-3.374991,50,525.482796
-3.524946,50,525.983456
-0.554836,50,526.483392
-2.064294,50,526.983531
-0.813588,50,527.483991
-3.874871,50,527.983593
-5.379822,50,528.483728
-3.144945,50,528.983288
-1.469234,50,529.483587
-0.955304,50,529.982927
-0.576857,50,530.483426
-2.12439,50,530.983983
-3.96718,50,531.483432
-2.349574,50,531.983398
-4.933024,50,532.48602
-0.838764,50,532.983269
-4.20071,50,533.48354
-1.124807,50,533.983675
-1.71724,50,534.483031
-5.36327,50,534.983634
-5.443078,50,535.483264
-0.930217,50,535.983402
